smiles,pkb
Nc1ccc(-c2cnc(-c3ccc(Br)cc3)o2)cc1,3.51
c1ccc2ncncc2c1,3.51
Nc1n[nH]c(N)c1N=Nc1ccccc1O,3.51
Cc1cc(C)nc(Nc2ccccc2)n1,3.52
CC(=O)N(C)c1cccnc1,3.52
Nc1ccc(-c2cnc(-c3ccc(Cl)cc3)o2)cc1,3.52
Cn1ncc2c(Nc3ccccc3)ncnc21,3.53
Brc1cncc2ccccc12,3.54
Cc1cc(Br)cc(C)c1N,3.54
Nc1ccc2c(c1)Cc1c(F)cccc1-2,3.54
Clc1ncc[nH]1,3.55
COc1ccc([N+](=O)[O-])c2cccnc12,3.55
COC(=O)c1cccc(N)c1,3.55
Nc1nc(-c2ccncc2)n[nH]1,3.56
Nc1n[nH]c(-c2ccncc2)n1,3.56
Oc1ccc(Cl)c2cccnc12,3.56
Cc1cn(C)nc1C,3.56
NC(=O)c1ccncc1,3.57
Nc1cccc2ncncc12,3.57
CCc1cccnn1,3.58
Cc1cnn(C)c1C,3.58
Cc1cc(Br)ccc1N,3.58
